"Employee ID","Registration Number","First Name","Middle Name",Surname,Gender,"Date of Birth",Email,"Mobile Number",Department,"Grade Level",Step,"Appointment Type","Date of First Appointment","Years of Service",Status,State,LGA,"Bank Name","Account Number","Account Name"
128,REG00128,Kehinde,Jessica,Bello,Female,1981-10-22,kehinde.bello128@company.com,08023001284,Finance,GL11,"Step 10",Permanent,2021-10-22,4,Active,,,"Providus Bank",1396685973,"Kehinde Bello"
129,REG00129,Olamide,,Ahmad,Male,2003-10-22,olamide.ahmad129@company.com,08144476101,Finance,GL07,"Step 1",Permanent,2021-10-22,4,Suspended,,,"Wema Bank",9876290999,"Olamide Ahmad"
130,REG00130,Jennifer,,Martinez,Male,1967-10-22,jennifer.martinez130@company.com,08025162793,"Information Technology",GL13,"Step 3",Permanent,2025-10-22,0,Suspended,,,"Unity Bank",4532964747,"Jennifer Martinez"
131,REG00131,Mubarak,Mojisola,Isiaka,Male,1981-10-22,mubarak.isiaka131@company.com,08119414158,"Human Resources",GL14,"Step 8",Permanent,2011-10-22,14,Suspended,,,"Standard Chartered Bank",6932565927,"Mubarak Isiaka"
132,REG00132,Aminat,Susan,Balogun,Female,2003-10-22,aminat.balogun132@company.com,08165905468,Finance,GL12,"Step 2",Permanent,2021-10-22,4,Suspended,,,"Unity Bank",2730472653,"Aminat Balogun"
133,REG00133,Afolabi,Ugochi,Busari,Male,2006-10-22,afolabi.busari133@company.com,08159102933,Finance,,,Contract,2024-10-22,1,Suspended,,,"United Bank for Africa",5591797556,"Afolabi Busari"
134,REG00134,Tunde,,Odetola,Female,2004-10-22,tunde.odetola134@company.com,08191706195,Finance,GL12,"Step 13",Permanent,2022-10-22,3,Active,,,"Citibank Nigeria",3967150393,"Tunde Odetola"
135,REG00135,Chukwu,,Bamidele,Male,1995-10-22,chukwu.bamidele135@company.com,08196868772,"Human Resources",,,Contract,2013-10-22,12,Suspended,,,"Guaranty Trust Bank",6878552312,"Chukwu Bamidele"
136,REG00136,Gbemisola,Ngozika,Aliyu,Male,1996-10-22,gbemisola.aliyu136@company.com,07021142989,Finance,GL06,"Step 11",Permanent,2014-10-22,11,Suspended,,,"Heritage Bank",1878432992,"Gbemisola Aliyu"
137,REG00137,Adepeju,Zainab,Adegoke,Female,1984-10-22,adepeju.adegoke137@company.com,09074179289,Finance,,,Contract,2015-10-22,10,Suspended,,,"Parallex Bank",4722759219,"Adepeju Adegoke"
138,REG00138,Uzochi,,Adesanya,Female,1982-10-22,uzochi.adesanya138@company.com,08158987302,"Information Technology",GL08,"Step 9",Permanent,2012-10-22,13,Suspended,,,"Union Bank of Nigeria",3910877382,"Uzochi Adesanya"
139,REG00139,William,,Adesina,Male,1988-10-22,william.adesina139@company.com,08195701298,"Human Resources",GL02,"Step 5",Permanent,2024-10-22,1,Suspended,,,FCMB,9749740599,"William Adesina"
140,REG00140,Chinwe,,Bamisebi,Male,1984-10-22,chinwe.bamisebi140@company.com,08188660428,"Information Technology",GL12,"Step 15",Permanent,2013-10-22,12,Active,,,"Jaiz Bank",4120536854,"Chinwe Bamisebi"
141,REG00141,Lekan,,Harris,Male,1967-10-22,lekan.harris141@company.com,09064189304,Finance,GL16,"Step 12",Permanent,2001-10-22,24,Active,,,"SunTrust Bank",2362016205,"Lekan Harris"
142,REG00142,Aderonke,,Akinyemi,Female,1985-10-22,aderonke.akinyemi142@company.com,08042729810,"Human Resources",,,Contract,2003-10-22,22,Suspended,,,"Jaiz Bank",5048318372,"Aderonke Akinyemi"
143,REG00143,Uzochi,Chidiebere,Asaaju,Male,1991-10-22,uzochi.asaaju143@company.com,08048866652,"Human Resources",,,Contract,2009-10-22,16,Active,,,"Ecobank Nigeria",8835002945,"Uzochi Asaaju"
144,REG00144,Michael,,Awosika,Female,1990-10-22,michael.awosika144@company.com,08194534928,"Human Resources",GL09,"Step 10",Permanent,2008-10-22,17,Suspended,,,"Union Bank of Nigeria",4910320436,"Michael Awosika"
145,REG00145,Lisa,Titi,Ebiti,Female,2007-10-22,lisa.ebiti145@company.com,08056316255,"Human Resources",GL08,"Step 9",Permanent,2025-10-22,0,Suspended,,,"Keystone Bank",1717394441,"Lisa Ebiti"
146,REG00146,Uche,Jumoke,Olawale,Male,1989-10-22,uche.olawale146@company.com,09024713743,"Human Resources",,,Contract,2017-10-22,8,Active,,,"Sterling Bank",2898705333,"Uche Olawale"
147,REG00147,Jennifer,Christopher,Onyima,Male,1989-10-22,jennifer.onyima147@company.com,08129612930,"Information Technology",GL03,"Step 10",Permanent,2007-10-22,18,Suspended,,,"Fidelity Bank",8657241482,"Jennifer Onyima"
148,REG00148,Uche,Adeola,Jones,Male,1990-10-22,uche.jones148@company.com,09072326881,"Human Resources",GL13,"Step 10",Permanent,2008-10-22,17,Active,,,"Jaiz Bank",2303155794,"Uche Jones"
149,REG00149,Adunni,,Ebiti,Female,1979-10-22,adunni.ebiti149@company.com,08014541885,"Information Technology",,,Contract,2016-10-22,9,Suspended,,,"Ecobank Nigeria",5703463395,"Adunni Ebiti"
150,REG00150,Akin,,King,Male,1968-10-22,akin.king150@company.com,08192985182,Finance,GL02,"Step 1",Permanent,2000-10-22,25,Active,,,"Heritage Bank",6727166923,"Akin King"
151,REG00151,Rasheedah,Grace,Orji,Male,1976-10-22,rasheedah.orji151@company.com,08134649297,"Information Technology",,,Contract,2016-10-22,9,Active,,,"Providus Bank",2420412673,"Rasheedah Orji"
152,REG00152,Aishat,,Young,Female,1976-10-22,aishat.young152@company.com,08107209014,"Information Technology",GL12,"Step 14",Permanent,2005-10-22,20,Active,,,"Keystone Bank",9005867483,"Aishat Young"
153,REG00153,Aderonke,Busola,Ali,Female,1979-10-22,aderonke.ali153@company.com,08096665351,Finance,GL01,"Step 12",Permanent,2001-10-22,24,Suspended,,,"Citibank Nigeria",8239395750,"Aderonke Ali"
154,REG00154,Sikiru,Chukwu,Aminu,Male,1998-10-22,sikiru.aminu154@company.com,08117076273,"Human Resources",GL13,"Step 3",Permanent,2016-10-22,9,Suspended,,,"Union Bank of Nigeria",6074728830,"Sikiru Aminu"
155,REG00155,Jumoke,Funmi,Okafor,Female,1981-10-22,jumoke.okafor155@company.com,08108594296,"Human Resources",GL12,"Step 5",Permanent,1999-10-22,26,Suspended,,,"Standard Chartered Bank",1196609116,"Jumoke Okafor"
156,REG00156,Uchechi,Barbara,Bature,Male,1991-10-22,uchechi.bature156@company.com,09069889540,"Information Technology",,,Contract,2009-10-22,16,Active,,,FCMB,5488776911,"Uchechi Bature"
157,REG00157,Jumoke,,Adenuga,Female,1971-10-22,jumoke.adenuga157@company.com,08155402989,Finance,,,Contract,2015-10-22,10,Active,,,"Titan Trust Bank",2334343067,"Jumoke Adenuga"
158,REG00158,Ngozika,Omobola,Harris,Male,1993-10-22,ngozika.harris158@company.com,08194087228,Finance,GL14,"Step 10",Permanent,2011-10-22,14,Active,,,"Parallex Bank",2105158405,"Ngozika Harris"
159,REG00159,Adunni,Olamide,Hernandez,Male,1969-10-22,adunni.hernandez159@company.com,08036135703,"Information Technology",,,Contract,2016-10-22,9,Active,,,"United Bank for Africa",5403115685,"Adunni Hernandez"
160,REG00160,Omotola,,Uwakwe,Male,1991-10-22,omotola.uwakwe160@company.com,08191764423,Finance,GL01,"Step 4",Permanent,2020-10-22,5,Active,,,"Keystone Bank",4751109581,"Omotola Uwakwe"
161,REG00161,Uchechukwu,Wasiu,Abiodun,Male,1986-10-22,uchechukwu.abiodun161@company.com,07038355419,Finance,GL15,"Step 8",Permanent,2004-10-22,21,Active,,,"Heritage Bank",4290654736,"Uchechukwu Abiodun"
162,REG00162,Chioma,Ebere,Ramirez,Male,1987-10-22,chioma.ramirez162@company.com,08155707588,"Human Resources",GL05,"Step 11",Permanent,2009-10-22,16,Active,,,"First Bank of Nigeria",2820434308,"Chioma Ramirez"
163,REG00163,Ngozi,,Akpan,Male,1980-10-22,ngozi.akpan163@company.com,07027890816,"Information Technology",GL09,"Step 5",Permanent,1998-10-22,27,Active,,,FCMB,8736157423,"Ngozi Akpan"
164,REG00164,Jumoke,,Bashir,Female,2002-10-22,jumoke.bashir164@company.com,08176381012,Finance,GL09,"Step 14",Permanent,2020-10-22,5,Suspended,,,"Providus Bank",9142423216,"Jumoke Bashir"
165,REG00165,Chinaza,Wasiu,Adebowale,Female,2004-10-22,chinaza.adebowale165@company.com,07038325163,"Information Technology",GL13,"Step 13",Permanent,2022-10-22,3,Suspended,,,"Sterling Bank",5597254316,"Chinaza Adebowale"
166,REG00166,Uche,Nkem,Onyima,Male,1970-10-22,uche.onyima166@company.com,09094923479,Finance,,,Contract,2016-10-22,9,Active,,,"Heritage Bank",8196600582,"Uche Onyima"
167,REG00167,Lanre,Bimbo,Olufunmi,Female,1970-10-22,lanre.olufunmi167@company.com,08181719163,"Information Technology",,,Contract,2010-10-22,15,Active,,,"SunTrust Bank",9991427185,"Lanre Olufunmi"
168,REG00168,Lekan,Elizabeth,Aliyu,Female,1975-10-22,lekan.aliyu168@company.com,09055783283,"Human Resources",,,Contract,2022-10-22,3,Suspended,,,"First Bank of Nigeria",2703672765,"Lekan Aliyu"
169,REG00169,Ibrahim,Lekan,Osagie,Female,1999-10-22,ibrahim.osagie169@company.com,09013309141,"Human Resources",GL09,"Step 4",Permanent,2017-10-22,8,Active,,,"Wema Bank",1169508746,"Ibrahim Osagie"
170,REG00170,Aderonke,David,Mustapha,Female,1981-10-22,aderonke.mustapha170@company.com,09027540410,Finance,,,Contract,1999-10-22,26,Suspended,,,"Polaris Bank",1066467363,"Aderonke Mustapha"
171,REG00171,Ifeoma,,Ayeni,Male,1997-10-22,ifeoma.ayeni171@company.com,08149476971,"Human Resources",,,Contract,2015-10-22,10,Active,,,"Sterling Bank",6227196710,"Ifeoma Ayeni"
172,REG00172,Christopher,Wasiu,Taiwo,Male,2004-10-22,christopher.taiwo172@company.com,08015037622,Finance,,,Contract,2022-10-22,3,Suspended,,,"Globus Bank",4172048654,"Christopher Taiwo"
173,REG00173,Patricia,Aisha,Ezeala,Male,1968-10-22,patricia.ezeala173@company.com,08105874465,"Human Resources",,,Contract,2009-10-22,16,Suspended,,,"Sterling Bank",5629540488,"Patricia Ezeala"
174,REG00174,Ifeoma,Gbemisola,Bashir,Male,1975-10-22,ifeoma.bashir174@company.com,08116837747,"Information Technology",,,Contract,1993-10-22,32,Active,,,"Keystone Bank",6216174271,"Ifeoma Bashir"
175,REG00175,Thomas,,Kalu,Female,1975-10-22,thomas.kalu175@company.com,08086276869,"Information Technology",,,Contract,2012-10-22,13,Suspended,,,"United Bank for Africa",1679101011,"Thomas Kalu"
176,REG00176,Mojisola,,Adesanya,Male,2005-10-22,mojisola.adesanya176@company.com,08099241542,"Information Technology",,,Contract,2023-10-22,2,Active,,,"Wema Bank",8133639078,"Mojisola Adesanya"
177,REG00177,Taiwo,,Ezeala,Male,1980-10-22,taiwo.ezeala177@company.com,08132139008,"Information Technology",,,Contract,2011-10-22,14,Suspended,,,"Wema Bank",8387707892,"Taiwo Ezeala"
178,REG00178,Gbemisola,Busola,Anifowoshe,Male,1968-10-22,gbemisola.anifowoshe178@company.com,07015514642,"Information Technology",,,Contract,1992-10-22,33,Active,,,"Parallex Bank",2115668848,"Gbemisola Anifowoshe"
179,REG00179,Mary,Nnamdi,King,Female,1968-10-22,mary.king179@company.com,08167419201,"Information Technology",,,Contract,2002-10-22,23,Active,,,"Guaranty Trust Bank",4119095294,"Mary King"
180,REG00180,Mubarak,,Oyinloye,Male,1999-10-22,mubarak.oyinloye180@company.com,08033838882,Finance,GL13,"Step 13",Permanent,2021-10-22,4,Suspended,,,"Guaranty Trust Bank",8581456847,"Mubarak Oyinloye"
181,REG00181,Mojisola,,Ramirez,Female,1969-10-22,mojisola.ramirez181@company.com,09022338340,Finance,,,Contract,2012-10-22,13,Active,,,"Parallex Bank",1999981305,"Mojisola Ramirez"
182,REG00182,Uchechukwu,,Anifowoshe,Female,1989-10-22,uchechukwu.anifowoshe182@company.com,08124685778,"Human Resources",GL13,"Step 1",Permanent,2020-10-22,5,Suspended,,,"Parallex Bank",7543158383,"Uchechukwu Anifowoshe"
183,REG00183,Robert,Grace,Adejumo,Male,2002-10-22,robert.adejumo183@company.com,08032301862,Finance,,,Contract,2020-10-22,5,Suspended,,,"First City Monument Bank",5687913391,"Robert Adejumo"
184,REG00184,Matthew,,Ozoigbo,Female,1989-10-22,matthew.ozoigbo184@company.com,08074224223,"Information Technology",,,Contract,2007-10-22,18,Suspended,,,"Fidelity Bank",5117026671,"Matthew Ozoigbo"
185,REG00185,Nkechi,,Omosule,Male,2002-10-22,nkechi.omosule185@company.com,08167440995,"Information Technology",,,Contract,2020-10-22,5,Active,,,"Citibank Nigeria",1682722831,"Nkechi Omosule"
186,REG00186,Ibrahim,Bimbo,Fashina,Female,1986-10-22,ibrahim.fashina186@company.com,08141106411,"Information Technology",,,Contract,2010-10-22,15,Active,,,"Stanbic IBTC Bank",9730931360,"Ibrahim Fashina"
187,REG00187,Jennifer,,Abiodun,Female,1999-10-22,jennifer.abiodun187@company.com,09024468582,"Human Resources",,,Contract,2017-10-22,8,Suspended,,,"Providus Bank",1376285091,"Jennifer Abiodun"
188,REG00188,Lisa,James,Aniefiok,Male,1967-10-22,lisa.aniefiok188@company.com,08175149918,"Human Resources",,,Contract,1993-10-22,32,Active,,,"Globus Bank",7482420969,"Lisa Aniefiok"
189,REG00189,Ahmad,,Amarachi,Female,1992-10-22,ahmad.amarachi189@company.com,09065582750,"Human Resources",GL04,"Step 9",Permanent,2010-10-22,15,Suspended,,,"Providus Bank",7373607134,"Ahmad Amarachi"
190,REG00190,Ahmad,,Adegboye,Female,2006-10-22,ahmad.adegboye190@company.com,08193565049,"Human Resources",GL09,"Step 2",Permanent,2025-10-22,0,Active,,,"United Bank for Africa",4482030182,"Ahmad Adegboye"
191,REG00191,Grace,,Dauda,Male,1966-10-22,grace.dauda191@company.com,08071559626,Finance,GL09,"Step 6",Permanent,1996-10-22,29,Suspended,,,FCMB,8827509098,"Grace Dauda"
192,REG00192,Adepeju,,Omololu,Female,1986-10-22,adepeju.omololu192@company.com,08148679254,Finance,GL11,"Step 7",Permanent,2021-10-22,4,Suspended,,,"Providus Bank",6043422065,"Adepeju Omololu"
193,REG00193,Emeka,,Igbinedion,Male,1970-10-22,emeka.igbinedion193@company.com,08066228826,Finance,,,Contract,2019-10-22,6,Suspended,,,"Zenith Bank",8896060564,"Emeka Igbinedion"
194,REG00194,Ugochi,,Lewis,Male,1977-10-22,ugochi.lewis194@company.com,08153230253,"Human Resources",,,Contract,2021-10-22,4,Suspended,,,"Jaiz Bank",7453348770,"Ugochi Lewis"
195,REG00195,Uche,Olamide,Dauda,Male,1981-10-22,uche.dauda195@company.com,09081797945,"Information Technology",,,Contract,1999-10-22,26,Active,,,"Wema Bank",9335246737,"Uche Dauda"
196,REG00196,Chidimma,,Jackson,Female,1966-10-22,chidimma.jackson196@company.com,08045900514,"Human Resources",,,Contract,2020-10-22,5,Suspended,,,"Standard Chartered Bank",3333242438,"Chidimma Jackson"
197,REG00197,Yusuf,,Adebayo,Female,1982-10-22,yusuf.adebayo197@company.com,09071791779,"Human Resources",GL11,"Step 9",Permanent,2007-10-22,18,Active,,,"United Bank for Africa",3308289827,"Yusuf Adebayo"
198,REG00198,Lanre,Aisha,Onyima,Male,2003-10-22,lanre.onyima198@company.com,08055284552,"Information Technology",,,Contract,2025-10-22,0,Suspended,,,"Sterling Bank",3683119659,"Lanre Onyima"
199,REG00199,Ngozi,Adunni,Miller,Male,1979-10-22,ngozi.miller199@company.com,07028369162,"Human Resources",,,Contract,1998-10-22,27,Suspended,,,"United Bank for Africa",1854292515,"Ngozi Miller"
200,REG00200,Aminat,Thomas,Adebisi,Female,1965-10-22,aminat.adebisi200@company.com,09068426999,"Human Resources",,,Contract,2015-10-22,10,Suspended,,,"United Bank for Africa",2345883061,"Aminat Adebisi"
